"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"192.168.3.131","55956","66.235.139.121","80","TCP","66","8192","0","",""
"192.168.3.131","57011","72.14.213.138","80","TCP","54","16445","0","",""
"192.168.3.131","52152","72.14.213.147","443","TLSv1","120","64928","66","",""
"207.46.148.38","80","192.168.3.131","55955","TCP","60","64240","0","",""
"192.168.3.131","55957","65.55.5.232","80","TCP","66","8192","0","",""
"192.168.3.131","55958","65.55.239.163","80","TCP","66","8192","0","",""
"66.235.139.121","80","192.168.3.131","55956","TCP","66","4380","0","",""
"192.168.3.131","55956","66.235.139.121","80","TCP","54","65700","0","",""
"192.168.3.131","55956","66.235.139.121","80","HTTP","1107","65700","1053","","GET"
"72.14.213.147","443","192.168.3.131","52152","TCP","60","33664","0","",""
"192.168.3.131","52152","72.14.213.147","443","TLSv1","309","64928","255","",""
"65.55.5.232","80","192.168.3.131","55957","TCP","60","8190","0","",""
"192.168.3.131","55957","65.55.5.232","80","TCP","54","64240","0","",""
"192.168.3.131","55957","65.55.5.232","80","HTTP","701","64240","647","","GET"
"72.14.213.147","443","192.168.3.131","52152","TCP","60","36480","0","",""
"65.55.5.232","80","192.168.3.131","55957","HTTP","1066","8190","1012","",""
"66.235.139.121","80","192.168.3.131","55956","HTTP","734","5433","680","",""
"65.55.239.163","80","192.168.3.131","55958","TCP","60","8190","0","",""
"192.168.3.131","55958","65.55.239.163","80","TCP","54","64240","0","",""
"192.168.3.131","55958","65.55.239.163","80","HTTP","632","64240","578","","GET"
"72.14.213.147","443","192.168.3.131","52152","TLSv1","176","36480","122","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","87","36480","33","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","64772","0","",""
"192.168.3.131","55959","65.55.5.231","80","TCP","66","8192","0","",""
"65.55.5.231","80","192.168.3.131","55959","TCP","60","8190","0","",""
"192.168.3.131","55959","65.55.5.231","80","TCP","54","64240","0","",""
"192.168.3.131","55959","65.55.5.231","80","HTTP","703","64240","649","","GET"
"65.55.5.231","80","192.168.3.131","55959","HTTP","1066","8190","1012","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","110","36480","56","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","514","36480","460","",""
"192.168.3.131","52152","72.14.213.147","443","TCP","54","65780","0","",""
"192.168.3.131","55960","206.108.207.139","80","TCP","66","8192","0","",""
"192.168.3.131","55961","184.24.133.32","80","TCP","66","8192","0","",""
"206.108.207.139","80","192.168.3.131","55960","TCP","66","5840","0","",""
"192.168.3.131","55960","206.108.207.139","80","TCP","54","65700","0","",""
"192.168.3.131","55960","206.108.207.139","80","HTTP","565","65700","511","","GET"
"206.108.207.139","80","192.168.3.131","55960","TCP","60","6912","0","",""
"206.108.207.139","80","192.168.3.131","55960","HTTP","576","6912","522","",""
"184.24.133.32","80","192.168.3.131","55961","TCP","66","5840","0","",""
"192.168.3.131","55961","184.24.133.32","80","TCP","54","65700","0","",""
"192.168.3.131","55961","184.24.133.32","80","HTTP","758","65700","704","","GET"
"65.55.239.163","80","192.168.3.131","55958","HTTP","465","64240","411","",""
"184.24.133.32","80","192.168.3.131","55961","TCP","60","7264","0","",""
"184.24.133.32","80","192.168.3.131","55961","HTTP","576","7264","522","",""
"192.168.3.131","55962","65.55.5.232","80","TCP","66","8192","0","",""
"192.168.3.131","55957","65.55.5.232","80","TCP","54","63228","0","",""
"192.168.3.131","55956","66.235.139.121","80","TCP","54","65020","0","",""
"65.55.5.232","80","192.168.3.131","55962","TCP","60","8190","0","",""
"192.168.3.131","55962","65.55.5.232","80","TCP","54","64240","0","",""
"192.168.3.131","55962","65.55.5.232","80","HTTP","703","64240","649","","GET"
"65.55.5.232","80","192.168.3.131","55962","HTTP","1360","8190","1306","",""
"192.168.3.131","55959","65.55.5.231","80","TCP","54","63228","0","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","66","8192","0","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","66","65535","0","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"192.168.3.131","55963","65.54.95.140","80","HTTP","451","65700","397","","GET"
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"192.168.3.131","55958","65.55.239.163","80","TCP","54","63829","0","",""
"192.168.3.131","55960","206.108.207.139","80","TCP","54","65176","0","",""
"65.54.95.140","80","192.168.3.131","55963","HTTP","373","65696","319","",""
"192.168.3.131","55961","184.24.133.32","80","TCP","54","65176","0","",""
"192.168.3.131","55966","63.215.202.48","80","TCP","66","8192","0","",""
"192.168.3.131","55962","65.55.5.232","80","TCP","54","62934","0","",""
"63.215.202.48","80","192.168.3.131","55966","TCP","60","8190","0","",""
"192.168.3.131","55966","63.215.202.48","80","TCP","54","64240","0","",""
"192.168.3.131","55966","63.215.202.48","80","HTTP","569","64240","515","","GET"
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65380","0","",""
"63.215.202.48","80","192.168.3.131","55966","HTTP","678","32767","624","",""
"192.168.3.131","57011","72.14.213.138","80","HTTP","1005","16445","951","","GET"
"72.14.213.138","80","192.168.3.131","57011","HTTP","533","1002","479","",""
"192.168.3.131","55967","63.215.202.49","80","TCP","66","8192","0","",""
"63.215.202.49","80","192.168.3.131","55967","TCP","60","8190","0","",""
"192.168.3.131","55967","63.215.202.49","80","TCP","54","64240","0","",""
"192.168.3.131","55967","63.215.202.49","80","HTTP","694","64240","640","","GET"
"192.168.3.131","55966","63.215.202.48","80","TCP","54","63616","0","",""
"63.215.202.49","80","192.168.3.131","55967","TCP","1514","16380","1460","",""
"63.215.202.49","80","192.168.3.131","55967","TCP","1514","16380","1460","",""
"63.215.202.49","80","192.168.3.131","55967","HTTP","1336","16380","1282","",""
"192.168.3.131","55967","63.215.202.49","80","TCP","54","64240","0","",""
"192.168.3.131","55957","65.55.5.232","80","HTTP","701","63228","647","","GET"
"192.168.3.131","57011","72.14.213.138","80","TCP","54","16325","0","",""
"65.55.5.232","80","192.168.3.131","55957","HTTP","931","8190","877","",""
"192.168.3.131","55957","65.55.5.232","80","TCP","54","64240","0","",""
"192.168.3.131","55968","72.14.213.101","80","TCP","66","8192","0","",""
"72.14.213.101","80","192.168.3.131","55968","TCP","66","5720","0","",""
"192.168.3.131","55968","72.14.213.101","80","TCP","54","65780","0","",""
"192.168.3.131","55968","72.14.213.101","80","TCP","1423","65780","1369","",""
"192.168.3.131","55968","72.14.213.101","80","HTTP/XML","333","65780","279","","POST"
"72.14.213.101","80","192.168.3.131","55968","TCP","60","8512","0","",""
"72.14.213.101","80","192.168.3.131","55968","TCP","60","11200","0","",""
"192.168.3.131","55971","65.55.17.37","80","TCP","66","8192","0","",""
"192.168.3.131","55954","65.55.17.37","80","HTTP","640","64240","586","","GET"
"72.14.213.101","80","192.168.3.131","55968","HTTP/XML","356","11200","302","",""
"192.168.3.131","57839","72.14.213.147","80","HTTP","1134","16088","1080","","GET"
"65.55.17.37","80","192.168.3.131","55971","TCP","60","8190","0","",""
"192.168.3.131","55971","65.55.17.37","80","TCP","54","64240","0","",""
"192.168.3.131","55971","65.55.17.37","80","HTTP","606","64240","552","","GET"
"65.55.17.37","80","192.168.3.131","55954","HTTP/XML","797","8190","743","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","60","1002","0","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","1246","1002","1192","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","1484","1002","1430","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","1484","1002","1430","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","774","1002","720","",""
"192.168.3.131","57839","72.14.213.147","80","TCP","54","16445","0","",""
"65.55.17.37","80","192.168.3.131","55971","HTTP/XML","909","8190","855","",""
"192.168.3.131","55954","65.55.17.37","80","HTTP","706","63497","652","","GET"
"192.168.3.131","55954","65.55.17.37","80","TCP","54","63497","0","",""
"65.55.17.37","80","192.168.3.131","55954","HTTP","480","8190","426","",""
"192.168.3.131","55954","65.55.17.37","80","TCP","54","0","0","",""
"192.168.3.131","55963","65.54.95.140","80","HTTP","452","65380","398","","GET"
"192.168.3.131","55972","207.46.216.54","80","TCP","66","8192","0","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","66","8192","0","",""
"192.168.3.131","55956","66.235.139.121","80","HTTP","1202","65020","1148","","GET"
"192.168.3.131","55971","65.55.17.37","80","HTTP","717","63385","663","","GET"
"65.54.95.140","80","192.168.3.131","55963","HTTP","1125","65696","1071","",""
"207.46.216.54","80","192.168.3.131","55972","TCP","60","8190","0","",""
"192.168.3.131","55972","207.46.216.54","80","TCP","54","64240","0","",""
"192.168.3.131","55972","207.46.216.54","80","HTTP","584","64240","530","","GET"
"65.54.95.142","80","192.168.3.131","55973","TCP","66","65535","0","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"192.168.3.131","55973","65.54.95.142","80","HTTP","442","65700","388","","GET"
"65.55.17.37","80","192.168.3.131","55971","HTTP","480","8190","426","",""
"207.46.216.54","80","192.168.3.131","55972","HTTP","264","64240","210","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"66.235.139.121","80","192.168.3.131","55956","HTTP","631","6581","577","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","1484","1002","1430","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","1484","1002","1430","",""
"192.168.3.131","57839","72.14.213.147","80","TCP","54","16445","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","917","1002","863","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"72.14.213.147","80","192.168.3.131","57839","HTTP","1401","1002","1347","",""
"192.168.3.131","57839","72.14.213.147","80","TCP","54","16445","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
